I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
166,1597667252,1149137882,557269299,2352010,287019701,1116563,2257901,7697
167,691259118,1606436123,303675100,1425131,280362200,1149651,2301000,8470
168,2364233292,308443227,373157200,1773899,291547401,1401746,2828599,13384
169,300416338,2011504930,213158900,1404034,452016400,1815229,2514199,10679
170,3292148493,270372924,216510301,1140675,79807500,459803,1313599,6471
171,277032590,2792148823,187919901,1226145,367174400,1642824,1818900,9263
172,1531505263,2394118039,161385001,1080394,476335501,2001637,2016199,10520
173,656632447,1355681747,37703000,253328,78176801,412059,1011700,3889
174,26526275,466294413,276174800,1540431,486949000,1958500,2827900,12961
175,264543797,280229026,164315200,984002,97406300,546089,1541400,7632
176,1122636201,2840815965,185352000,859718,211752899,971699,1635200,6886
177,1393614983,17870135,237301500,1253151,100360401,506642,1807701,6489
178,686956967,1653079053,373322799,1777810,184853400,828390,4044000,7706
179,1628468536,262365065,111221999,690970,101002701,511251,837599,3392
180,1510336734,1881613107,215443999,1335886,505807900,2168396,1966500,9484
181,33034452,489790233,85701299,622803,90188399,514493,1301100,6316
182,2603833644,268907240,111531700,770299,57533101,332388,984000,5163
183,412057637,1377155640,471800100,2342022,481132900,1829118,3064101,12799
184,2228459980,1197483291,276596099,1489228,278100600,1110244,2248600,9342
185,1119371362,265715571,417509301,1948251,282865301,1341258,1147400,4219
186,250349399,1557514832,352781600,2094594,409632200,1676778,2522399,12558
187,126550512,4376103413,357618200,1855793,525442000,2167118,2270300,9280
188,1618343768,5002912942,153545501,841674,168317799,776541,1456500,4094
189,364106047,457801616,33736599,260461,30344300,189531,728999,3867
190,1148159768,3164345983,32887000,226196,20693400,123171,530400,2395
191,1549343834,1177297686,224613699,1439877,144552900,778251,2500300,8358
192,1096233292,4868595921,69409899,474356,26196801,184079,1260001,6327
193,373450380,1499411984,302905701,1455056,148587999,705607,1398000,5471
194,1607294864,2056305097,402507900,1856542,506876900,1779120,3372300,13103
195,387464653,3741191587,276819899,1586399,226003600,813574,1598900,6517
196,4417690177,2711682305,37125399,253999,35234201,221644,1258500,5954
197,4313829703,31390241,270349799,1499257,424756200,1404285,2232500,8992
198,2688230890,2962447040,54948600,317845,82184900,359087,1046999,4177
199,1139503855,257427480,308825899,1592852,215546400,880853,1308900,5963
200,2623995632,1261060001,275700300,1484708,238748300,1045981,3016000,11529
201,1604527521,1137617142,169541100,939578,116984300,560510,1808000,5881
202,1024987958,176803231,254538600,1556772,178188900,852149,1620200,7770
203,1683224406,2661384341,234200,1717,426800,3778,56800,126
204,1272528075,1609396317,51244200,354562,51568899,289289,893500,5116
205,267839558,540625741,231733100,1315958,323719699,1350546,1444701,7105
206,4865064147,280016889,284314601,1532933,250099700,1186047,1948701,8555
207,1807385165,1916714889,339186099,1924389,354709900,1592169,1785601,8552
208,4722747514,292459401,21430500,137266,8237299,58486,679099,2771
209,1253153549,4350579766,17939599,148152,15546901,99858,500601,2315
210,2317408154,61105039,103230501,704016,125032000,530300,1163600,5838
211,27039712,3061274046,277457701,1664321,459997900,1984492,1922699,9148
212,959281844,1746428805,87097900,565654,105018101,427831,980101,4583
213,281408650,4943710470,201580100,1168042,356369401,1478471,2448301,8962
214,597317045,258102104,49696500,306073,55309501,266711,1162400,5557
215,325212027,446290737,106569000,543850,140591901,506113,1520300,5550
216,373450357,408501599,409382900,1820764,438986600,1659906,1841300,7492
217,60116057,1314641662,351436100,1811654,450278400,1929681,2041900,8205
218,1179854140,333811840,23751900,150065,14451400,94787,434200,1367
219,2588080735,1574482867,79901800,564793,115700899,592277,1232400,6172
220,1562967508,4499256779,136999799,849866,89206301,526223,1410999,6616
221,3158596918,1164114519,37364701,301304,19699600,133625,454701,2404
222,4193554947,2599647194,28260300,214648,29680399,197152,975200,4817
223,670514682,3168340634,60434700,440039,102573499,585472,1240700,6389
224,1586181512,3252793515,2298001,19098,1663701,14394,117099,392
225,1101614437,1240232036,158742701,1065055,209622800,995140,1904300,6945
226,460297703,1576155293,145595900,905878,158284001,847455,2413100,11150
227,4933805048,4539681869,179042900,942310,150008200,782878,1269400,6100
228,2195412835,1170957330,258501401,1375327,145230900,675390,1501400,6431
229,4604186046,1883069158,272131101,1639798,178250200,768406,1663600,7160
230,278793707,4682024180,205882900,1258695,122556401,686816,1666500,8501
231,1885702211,1429065529,100376500,686186,57768500,359334,1313601,5854
232,1580190930,1776412192,284304600,1729242,369841500,1067947,1251000,6922
